r,obs,mmean,lo,hi,cbsa,gamma
0,6.281781456423168e-6,3.959795185854142e-6,3.7813677723706154e-6,4.112810581435907e-6,35620,2.168970874987261e-6
250,8.213248309711632e-6,4.966577392220754e-6,4.647125875684692e-6,5.281168971020023e-6,35620,2.932079338691609e-6
500,1.2238035969718624e-5,7.447345652162203e-6,6.9845611497499185e-6,7.866405858578677e-6,35620,4.371630111139946e-6
1000,1.542634058252347e-5,9.681435045810812e-6,9.232731260106886e-6,1.0140153437168849e-5,35620,5.286187145354623e-6
0,5.211095025608578e-6,2.9124393101124486e-6,2.7898821068629325e-6,3.0213919483737465e-6,31080,2.1897030772348314e-6
250,3.086953350804694e-6,1.8097882188465246e-6,1.7458260766454503e-6,1.8847386746549678e-6,31080,1.202214676149726e-6
500,3.710153453743662e-6,2.665637227847209e-6,2.5735084142978293e-6,2.754722472326632e-6,31080,9.554309814170301e-7
1000,4.708722991955132e-6,3.7284288493618873e-6,3.5978915857194077e-6,3.863384197954036e-6,31080,8.453387940010953e-7
0,9.996509140237385e-6,4.027406748775197e-6,3.8517574585664835e-6,4.197394547142427e-6,16980,5.7991145930949575e-6
250,1.1065147845504958e-5,3.142749316074715e-6,2.874668936273014e-6,3.4222466201354873e-6,16980,7.64290122536947e-6
500,1.7405405574747587e-5,4.899967458408701e-6,4.459404833677904e-6,5.341468847051965e-6,16980,1.2063936727695622e-5
1000,1.9708034178464348e-5,6.106182815937745e-6,5.614330399645256e-6,6.632360469650933e-6,16980,1.3075673708813415e-5
0,9.74511273287378e-6,8.114067556998479e-6,7.978786649542852e-6,8.22703237961963e-6,47900,1.5180803532541507e-6
250,4.532892551938266e-6,3.824911309597629e-6,3.737182775985571e-6,3.914113064373972e-6,47900,6.187794875642939e-7
500,5.7804790050509295e-6,4.835413819023716e-6,4.735627549209034e-6,4.949766360311594e-6,47900,8.307126447393353e-7
1000,6.980550802193377e-6,5.812757721044036e-6,5.708932039444279e-6,5.9312536568935426e-6,47900,1.0492971452998348e-6
